dt_iso,dt,lat,lon,temp,dew_point,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
2018-02-26,1519644600.0,-14.599413,-28.673147,298.95458333333335,294.61291666666665,298.8875,299.02208333333334,1014.7083333333334,77.0,5.8625,86.08333333333333,,,31.291666666666668,801.5833333333334,Clouds,few clouds,02n
2018-02-27,1519731000.0,-14.599413,-28.673147,298.74583333333334,294.99208333333337,298.65291666666667,298.83875,1014.7916666666666,79.83333333333333,6.415833333333333,97.125,0.15333333333333335,,27.875,763.8333333333334,Clouds,few clouds,02d
2018-02-28,1519817400.0,-14.599413,-28.673147,299.12791666666664,292.90291666666667,299.03875,299.2141666666667,1014.3333333333334,68.75,6.47125,87.0,,,18.666666666666668,801.0,Clouds,sky is clear,01d
2018-03-01,1519903800.0,-14.599413,-28.673147,298.65708333333333,294.52416666666664,298.56874999999997,298.74083333333334,1015.6666666666666,77.95833333333333,6.279583333333334,88.75,0.15000000000000002,,32.0,776.5,Clouds,scattered clouds,03n
2018-03-02,1519990200.0,-14.599413,-28.673147,298.6975,294.44041666666664,298.61291666666665,298.7716666666667,1015.2916666666666,77.45833333333333,5.254583333333334,98.04166666666667,,,21.625,801.0833333333334,Clouds,few clouds,01d
2018-03-03,1520076600.0,-14.599413,-28.673147,298.52125,293.94083333333333,298.45666666666665,298.58958333333334,1014.125,75.83333333333333,4.6883333333333335,86.79166666666667,,,8.833333333333334,800.3333333333334,Clear,sky is clear,01d
2018-03-04,1520163000.0,-14.599413,-28.673147,298.6225,294.2183333333333,298.51708333333335,298.73083333333335,1012.7916666666666,76.66666666666667,5.421666666666667,69.79166666666667,,,30.833333333333332,801.7083333333334,Clouds,scattered clouds,03d
2018-03-05,1520249400.0,-14.599413,-28.673147,299.04375,294.71750000000003,298.9975,299.09791666666666,1012.25,77.08333333333333,5.882083333333333,67.875,,,39.0,801.9166666666666,Clouds,few clouds,02d
2018-03-06,1520335800.0,-14.599413,-28.673147,299.19374999999997,294.83166666666665,299.17125,299.21625,1012.3333333333334,76.95833333333333,5.272083333333334,64.75,,,21.916666666666668,801.1666666666666,Clouds,scattered clouds,01d
2018-03-07,1520422200.0,-14.599413,-28.673147,299.1345833333333,294.7345833333333,299.09083333333336,299.18125000000003,1012.6666666666666,76.75,4.679166666666666,63.291666666666664,,,65.45833333333333,802.9166666666666,Clouds,overcast clouds,04n
2018-03-08,1520508600.0,-14.599413,-28.673147,299.0829166666667,294.06958333333336,299.05833333333334,299.10875,1013.0833333333334,73.95833333333333,4.56125,77.04166666666667,,,30.666666666666668,801.3333333333334,Clouds,sky is clear,01d
2018-03-09,1520595000.0,-14.599413,-28.673147,299.0566666666667,294.0133333333333,298.96999999999997,299.15000000000003,1014.0416666666666,73.79166666666667,3.6129166666666666,78.95833333333333,,,20.166666666666668,801.0833333333334,Clouds,scattered clouds,01d
2018-03-10,1520681400.0,-14.599413,-28.673147,298.42833333333334,295.89458333333334,298.33,298.53249999999997,1014.0833333333334,85.91666666666667,5.284583333333333,66.625,0.15333333333333335,,27.25,688.4166666666666,Clouds,light rain,10d
2018-03-11,1520767800.0,-14.599413,-28.673147,299.21875,295.4458333333333,299.0883333333333,299.35041666666666,1013.6666666666666,79.95833333333333,5.3308333333333335,31.541666666666668,,,17.125,801.0,Clouds,few clouds,02d
2018-03-12,1520854200.0,-14.599413,-28.673147,299.07,296.3075,298.90416666666664,299.2325,1013.0,84.79166666666667,6.22375,41.25,0.14222222222222222,,41.958333333333336,688.875,Clouds,light rain,03d
2018-03-13,1520940600.0,-14.599413,-28.673147,299.27708333333334,296.03291666666667,299.1479166666667,299.3883333333333,1013.75,82.45833333333333,6.042083333333333,48.75,0.18,,40.875,700.7916666666666,Clouds,few clouds,02d
2018-03-14,1521027000.0,-14.599413,-28.673147,299.31958333333336,294.84999999999997,299.2920833333333,299.3441666666667,1014.875,76.5,5.646666666666667,82.375,,,22.708333333333332,801.25,Clouds,few clouds,02n
2018-03-15,1521113400.0,-14.599413,-28.673147,299.37791666666664,294.6695833333333,299.28458333333333,299.46416666666664,1014.2916666666666,75.375,6.536666666666666,98.79166666666667,0.12,,28.291666666666668,788.9583333333334,Clouds,scattered clouds,02d
2018-03-16,1521199800.0,-14.599413,-28.673147,299.26458333333335,295.03541666666666,299.2033333333333,299.3233333333333,1013.6666666666666,77.58333333333333,6.09875,94.375,,,16.916666666666668,800.9166666666666,Clouds,few clouds,02d
2018-03-17,1521286200.0,-14.599413,-28.673147,299.12125,294.83750000000003,299.02791666666667,299.21999999999997,1013.0833333333334,77.41666666666667,5.454999999999999,83.125,,,19.75,800.875,Clouds,few clouds,02d
2018-03-18,1521372600.0,-14.599413,-28.673147,299.4066666666667,294.6933333333333,299.32416666666666,299.48541666666665,1012.1666666666666,75.33333333333333,5.079583333333333,87.16666666666667,,,22.625,801.1666666666666,Clouds,few clouds,02d
2018-03-19,1521459000.0,-14.599413,-28.673147,299.0525,294.8795833333333,298.9379166666667,299.16041666666666,1012.625,78.0,6.2225,85.58333333333333,0.15,,30.75,751.2083333333334,Clouds,scattered clouds,01d
2018-03-20,1521545400.0,-14.599413,-28.673147,299.2325,294.8533333333333,299.14208333333335,299.32416666666666,1013.4166666666666,76.91666666666667,5.623333333333334,92.33333333333333,0.15,,25.583333333333332,788.8333333333334,Clouds,few clouds,02d
2018-03-21,1521631800.0,-14.599413,-28.673147,299.28125,295.67958333333337,299.19666666666666,299.36083333333335,1014.125,80.625,6.776666666666667,90.16666666666667,0.175,,23.666666666666668,751.0,Clouds,few clouds,02d
2018-03-22,1521718200.0,-14.599413,-28.673147,299.15791666666667,295.86625,299.0808333333333,299.23791666666665,1014.0833333333334,82.125,7.7775,92.75,0.15285714285714286,,22.833333333333332,713.125,Clouds,few clouds,02d
2018-03-23,1521804600.0,-14.599413,-28.673147,299.39375,295.91249999999997,299.31083333333333,299.4791666666667,1014.125,81.25,8.483749999999999,93.58333333333333,0.12333333333333334,,51.25,764.625,Clouds,broken clouds,04d
2018-03-24,1521891000.0,-14.599413,-28.673147,298.94416666666666,295.44666666666666,298.85541666666666,299.03458333333333,1013.75,81.08333333333333,8.578750000000001,107.25,0.188,,93.625,740.5,Clouds,overcast clouds,04d
2018-03-25,1521977400.0,-14.599413,-28.673147,299.195,295.40458333333333,299.12375000000003,299.25875,1013.3333333333334,79.70833333333333,7.827916666666667,107.45833333333333,0.16,,72.54166666666667,790.375,Clouds,broken clouds,04n
2018-03-26,1522063800.0,-14.599413,-28.673147,299.2970833333333,295.27,299.1979166666667,299.38875,1013.75,78.54166666666667,7.046666666666667,99.0,,,43.458333333333336,801.9583333333334,Clouds,sky is clear,04n
